spectra names,level 1,level 2
Red clay tile 1,Impervious,Roof
Red clay tile 2,Impervious,Roof
Red clay tile 3,Impervious,Roof
Red clay tile 4,Impervious,Roof
Red cement tile 1,Impervious,Roof
Red cement tile 2,Impervious,Roof
Red cement tile 3,Impervious,Roof
Bitumen 1,Impervious,Roof
Bitumen 2,Impervious,Roof
Bitumen 3,Impervious,Roof
Bitumen 4,Impervious,Roof
Bitumen 5,Impervious,Roof
Brown tile,Impervious,Roof
Black tile,Impervious,Roof
Brown shingle,Impervious,Roof
White roof material (polyethylene),Impervious,Roof
White roof material (unknown) 1,Impervious,Roof
White roof material (unknown) 2,Impervious,Roof
White roof material (unknown) 3,Impervious,Roof
White roof material (unknown) 4,Impervious,Roof
Greenish roof material (unknown),Impervious,Roof
Light gray roof material (unknown),Impervious,Roof
Zinc,Impervious,Roof
Asphalt 1,Impervious,Pavement
Asphalt 2,Impervious,Pavement
Asphalt 3,Impervious,Pavement
Asphalt 4,Impervious,Pavement
Concrete 1,Impervious,Pavement
Concrete 2,Impervious,Pavement
Concrete 3,Impervious,Pavement
Grass (intensively manicured) 1,Vegetation,Low vegetation
Grass (intensively manicured) 2,Vegetation,Low vegetation
Grass (extensively manicured),Vegetation,Low vegetation
Grass (agricultural grassland) 1,Vegetation,Low vegetation
Grass (agricultural grassland) 2,Vegetation,Low vegetation
Grass (agricultural grassland)3,Vegetation,Low vegetation
Grass (meadow clover) 1,Vegetation,Low vegetation
Grass (meadow clover) 2,Vegetation,Low vegetation
Grass (meadow alfalfa/lucerne),Vegetation,Low vegetation
Grass (dry) 1,Vegetation,Low vegetation
Grass (dry) 2,Vegetation,Low vegetation
Grass (dry agricultural grassland),Vegetation,Low vegetation
Sunflower,Vegetation,Low vegetation
Corn,Vegetation,Low vegetation
Sorghum,Vegetation,Low vegetation
Sugarbeet 1,Vegetation,Low vegetation
Sugarbeet 2,Vegetation,Low vegetation
Potatoes,Vegetation,Low vegetation
Deciduous tree 1,Vegetation,Tree
Deciduous tree 2,Vegetation,Tree
Deciduous tree 3,Vegetation,Tree
Deciduous tree 4,Vegetation,Tree
Deciduous tree 5,Vegetation,Tree
Deciduous tree 6,Vegetation,Tree
Deciduous tree 7,Vegetation,Tree
Deciduous tree 8,Vegetation,Tree
Deciduous tree 9,Vegetation,Tree
Deciduous tree 10,Vegetation,Tree
Deciduous tree 11,Vegetation,Tree
Coniferous tree 1,Vegetation,Tree
Coniferous tree 2,Vegetation,Tree
Bare soil 1,Soil,Soil
Bare soil 2,Soil,Soil
Sand (playground) 1,Soil,Soil
Sand (playground) 2,Soil,Soil
Red sand (cinder field),Other,Other
Red sand (cinder court) 1,Other,Other
Red sand (cinder court) 2,Other,Other
Railtrack 1,Other,Other
Railtrack 2,Other,Other
Artificial turf 1,Other,Other
Artificial turf 2,Other,Other
Tartan (sports ground),Other,Other
Water1,Other,Other
Water 2,Other,Other